x1,x2,label
5.655,-5.452,0
-8.345,6.855,1
-0.267,2.43,1
-0.186,1.259,1
8.757,-3.621,0
1.435,8.589,1
-0.53,-3.376,0
-4.66,6.699,1
-3.369,7.918,1
0.413,-0.333,0
-1.222,7.886,1
-9.568,-4.464,1
6.526,3.169,0
7.923,-8.241,0
-7.195,-0.521,1
1.081,-5.653,0
-7.828,-8.745,0
3.445,-9.925,0
-4.375,-3.505,0
3.188,1.791,0
4.54,-0.895,0
5.373,-3.965,0
-7.845,9.824,1
8.32,8.791,1
-5.396,-7.487,0
-9.252,-1.698,1
1.097,2.977,1
-2.582,4.67,1
6.596,-2.673,0
6.165,4.926,0
-3.657,-7.517,0
9.058,-3.364,0
-4.182,4.329,1
0.301,2.514,1
-4.881,6.744,1
8.721,-9.063,0
-6.708,-6.512,0
-9.102,-9.03,0
-1.298,-6.158,0
9.848,-9.914,0
7.834,0.084,0
4.972,0.566,0
7.816,3.158,0
7.869,-2.302,0
0.377,-9.936,0
-3.681,3.478,1
5.44,-8.914,0
3.233,7.323,1
-2.527,-9.547,0
-8.111,0.61,1
4.936,7.898,1
-4.751,1.45,1
8.736,2.168,0
-5.181,3.632,1
-7.545,-7.552,0
6.622,3.499,0
-6.934,7.607,1
-6.415,9.484,1
1.988,-1.139,0
7.491,-3.11,0
-6.071,5.066,1
-3.794,0.857,1
5.548,-4.854,0
9.437,-6.557,0
0.015,-6.595,0
-7.122,-0.816,1
-9.721,-6.598,1
-5.407,-9.606,0
-7.364,-8.958,0
3.553,8.598,1
-7.563,-8.541,0
0.127,-8.536,0
3.885,-0.976,0
1.622,-5.098,0
-6.004,9.254,1
6.082,8.22,1
4.308,-1.905,0
4.78,-1.025,0
-7.379,-2.498,1
-7.525,-9.243,0
8.551,-4.143,0
-2.048,-7.547,0
-3.981,-7.953,0
-0.228,1.217,1
3.257,-8.025,0
9.112,-7.941,0
-4.271,-0.39,1
8.496,-1.154,0
-9.503,-7.247,0
1.104,-9.911,0
2.68,-6.141,0
-7.882,-5.282,1
-7.193,6.005,1
-1.618,8.309,1
9.325,-1.881,0
1.921,-1.899,0
8.66,4.25,0
6.087,2.538,0
-0.652,-6.317,0
5.695,-7.846,0
-9.643,-1.248,1
-7.817,1.297,1
6.589,-7.226,0
5.936,-4.135,0
-5.347,-3.881,0
0.615,-4.774,0
2.12,-0.785,0
7.355,3.061,0
2.062,0.188,0
-1.749,-5.971,0
-2.516,-7.941,0
-1.482,6.437,1
3.039,-0.414,0
7.35,-8.757,0
-0.922,-4.838,0
-5.043,6.081,1
-5.267,5.035,1
4.92,7.516,1
6.331,2.042,0
-7.894,-1.542,1
-8.669,-1.467,1
1.889,-6.12,0
-7.077,3.016,1
6.493,1.701,0
-3.793,-6.903,0
-7.123,7.713,1
8.419,-2.631,0
-6.689,-9.005,0
-4.306,-3.442,0
-6.928,7.397,1
-7.69,8.339,1
-9.577,-0.192,1
-8.892,9.127,1
-6.507,7.505,1
-8.932,6.505,1
1.823,7.194,1
3.614,-2.362,0
-2.127,5.129,1
-3.64,1.547,1
0.091,4.394,1
7.5,-6.444,0
7.023,4.628,0
-9.13,9.152,1
-6.37,-3.947,1
-5.265,9.723,1
-5.012,-2.432,1
1.425,-6.006,0
-1.675,-7.754,0
-9.015,5.699,1
-2.528,1.097,1
0.475,-3.857,0
-7.967,2.169,1
6.669,-3.358,0
-8.961,-1.033,1
8.497,7.253,0
-8.018,3.363,1
6.871,5.248,0
8.053,1.67,0
9.591,9.828,1
6.041,-5.172,0
5.59,-4.754,0
2.85,-8.149,0
5.58,1.08,0
-7.309,2.267,1
0.721,4.519,1
0.284,-3.291,0
7.151,-9.755,0
-0.744,2.645,1
-2.298,9.974,1
2.791,-4.109,0
-4.671,-6.321,0
-7.205,-4.365,1
-0.442,-1.492,0
-1.662,-4.982,0
-5.349,-3.061,1
-2.65,2.764,1
-2.672,-3.099,0
-3.45,-2.079,0
-2.411,-9.199,0
3.715,8.359,1
-4.062,-1.862,1
8.977,-3.437,0
8.327,-8.27,0
-0.382,2.684,1
-3.433,7.276,1
0.709,-9.177,0
6.971,-7.095,0
3.052,-7.072,0
6.088,2.045,0
0.654,8.425,1
2.658,-1.245,0
-4.237,-3.124,0
4.698,5.317,1
-5.952,4.851,1
3.896,-5.065,0
7.214,-6.783,0
-7.358,-2.844,1
2.288,5.512,1
-8.098,3.901,1
4.514,3.317,0
-8.31,6.589,1
8.719,-4.457,0
-7.252,-3.206,1
9.178,-9.153,0
6.018,7.375,1
1.874,1.649,0
5.652,-4.038,0
5.902,-8.612,0
8.921,4.468,0
-4.932,4.975,1
1.802,3.324,1
-8.099,-5.924,0
2.323,8.264,1
-6.574,5.063,1
1.299,3.155,1
1.449,3.019,1
-0.68,8.087,1
0.453,8.566,1
5.278,1.913,0
5.985,-1.667,0
-0.157,-2.725,0
1.992,6.382,1
8.625,2.892,0
-7.605,-8.455,0
-7.658,-7.156,0
-8.246,8.004,1
3.157,7.69,1
-1.628,9.037,1
5.486,-1.443,0
3.425,5.681,1
-3.327,6.565,1
7.967,-3.686,0
5.251,-7.093,0
-4.589,9.941,1
-2.716,-9.396,0
-3.711,1.947,1
-6.848,3.004,1
-7.044,3.636,1
8.723,-4.887,0
-1.242,4.432,1
-2.334,-5.672,0
4.594,6.581,1
1.06,-5.618,0
8.723,3.934,0
5.606,5.668,1
-0.413,-6.221,0
-2.473,-5.24,0
9.733,5.582,0
4.355,-8.28,0
9.024,-6.185,0
-7.63,-0.889,1
7.011,8.604,1
2.741,1.238,0
-7.562,-2.246,1
1.765,9.567,1
3.722,-0.726,0
-9.754,-1.325,1
-0.914,-1.767,0
6.508,-3.756,0
-4.093,-3.486,0
-0.829,3.757,1
-1.154,-9.183,0
-3.961,3.636,1
8.369,-5.976,0
5.626,-2.316,0
-7.788,-7.069,0
9.941,1.055,0
7.584,4.587,0
-4.322,-2.907,0
6.738,-6.732,0
-7.872,-5.47,0
9.982,6.362,0
3.314,-4.647,0
3.003,5.494,1
-8.191,-3.376,1
7.941,-6.225,0
-9.42,4.546,1
-5.183,-0.629,1
-7.14,-9.374,0
5.535,9.199,1
-6.036,-7.045,0
8.213,-2.932,0
3.125,-2.304,0
-9.277,-0.211,1
-9.891,5.709,1
-8.967,-9.878,0
2.119,8.649,1
6.03,2.92,0
-5.229,9.013,1
6.988,6.348,0
-8.855,8.557,1
6.019,2.02,0
8.556,-2.854,0
5.442,-1.142,0
3.962,3.161,0
6.76,-1.461,0
-9.197,4.633,1
-5.964,-8.163,0
-7.502,6.6,1
0.091,-5.916,0
4.904,8.879,1
2.6,-6.889,0
7.023,-7.417,0
-6.896,6.238,1
4.692,6.374,1
-6.139,4.775,1
-4.585,9.211,1
4.198,-4.589,0
9.604,6.533,0
2.231,-2.959,0
-8.91,0.748,1
2.326,-1.088,0
-9.153,-9.883,0
7.683,1.489,0
4.192,4.95,1
-6.537,-6.509,0
-8.166,8.633,1
-6.329,0.608,1
9.601,-6.435,0
-0.829,2.919,1
5.682,-6.162,0
2.728,-8.729,0
1.448,3.706,1
-7.097,-7.786,0
8.92,-7.876,0
-3.973,4.799,1
1.56,-8.896,0
3.996,6.195,1
2.985,5.923,1
8.812,-7.172,0
-7.031,0.368,1
0.167,-8.067,0
-1.919,2.651,1
-0.517,-8.741,0
-7.616,8.89,1
-7.318,-5.845,0
-4.438,3.658,1
-3.906,-7.434,0
-1.442,-5.808,0
2.22,-0.981,0
2.693,1.462,0
-1.764,9.977,1
-1.824,-9.481,0
-5.647,-9.994,0
1.766,-2.993,0
-3.659,-2.677,0
-9.279,7.677,1
-1.632,8.252,1
-0.517,7.61,1
-5.488,-7.136,0
1.449,-1.758,0
1.315,4.918,1
4.04,-3.748,0
2.959,3.265,0
3.049,-5.257,0
-3.676,-3.532,0
5.749,7.209,1
0.983,-4.99,0
-1.372,9.286,1
2.52,-3.875,0
-2.787,-9.529,0
0.255,-4.902,0
4.734,-6.576,0
7.728,0.137,0
8.421,-7.746,0
0.073,2.521,1
0.406,7.498,1
5.997,-2.75,0
-3.711,-6.63,0
6.748,-2.0,0
-0.117,5.719,1
-7.683,1.83,1
-8.559,-7.977,0
6.84,0.744,0
-8.889,-0.638,1
-4.388,-3.458,0
-3.317,-7.797,0
-6.54,9.622,1
-3.722,-6.479,0
4.854,-6.145,0
-9.706,-7.088,0
6.543,1.404,0
7.131,-1.127,0
-2.555,-5.009,0
-6.928,-1.412,1
2.017,3.47,1
-7.607,-4.366,1
-2.702,8.305,1
9.169,-3.873,0
9.909,-6.036,0
5.442,9.091,1
-3.781,6.211,1
3.753,-3.137,0
4.108,6.829,1
-2.243,0.376,1
2.818,-3.065,0
-9.785,6.792,1
-5.819,5.043,1
0.502,-4.043,0
-6.725,2.134,1
-6.682,-2.612,1
6.726,-9.979,0
9.783,9.236,1
1.119,0.993,0
6.781,1.969,0
9.806,1.998,0
-7.168,1.013,1
-1.035,-4.199,0
-2.149,9.432,1
-8.399,2.433,1
5.107,3.418,0
-1.324,-0.904,0
-0.613,-4.243,0
-6.987,-8.713,0
-6.381,-2.995,1
8.142,-6.478,0
-9.107,3.242,1
-5.343,7.58,1
-4.159,-3.945,0
-0.196,-3.342,0
1.729,3.407,1
-0.134,-7.015,0
-8.318,8.589,1
-5.127,-2.723,1
6.872,-7.976,0
2.752,-6.506,0
2.983,8.655,1
3.404,-5.058,0
5.258,3.245,0
-8.838,-6.877,0
-2.668,-6.118,0
0.791,7.585,1
-3.231,-7.039,0
6.89,-9.625,0
-0.349,0.025,0
5.373,7.255,1
7.04,-3.48,0
0.096,-7.437,0
8.191,9.645,1
1.742,3.535,1
7.005,7.014,1
-3.188,5.043,1
-0.024,3.965,1
0.628,-2.309,0
-7.9,-3.513,1
-2.029,4.339,1
8.347,4.334,0
2.617,9.012,1
-6.45,1.373,1
-3.223,-4.108,0
-6.168,-0.209,1
-9.504,2.274,1
8.549,-1.465,0
-1.036,5.823,1
-3.849,1.692,1
1.97,-9.811,0
-9.854,1.397,1
-4.44,2.672,1
4.061,8.305,1
2.675,-1.726,0
9.636,1.489,0
2.407,-0.5,0
-0.45,0.633,0
5.229,-8.654,0
8.067,7.946,1
4.414,8.208,1
9.264,0.961,0
5.64,1.131,0
7.336,-8.849,0
-7.718,1.959,1
4.648,-1.417,0
-1.198,4.181,1
1.062,-9.058,0
3.082,4.218,1
9.396,-4.262,0
9.692,3.034,0
-4.235,2.543,1
4.675,-5.463,0
5.0,-1.191,0
-3.07,6.713,1
-7.523,2.112,1
-9.181,-8.625,0
5.547,-1.142,0
-0.206,-3.765,0
9.711,2.833,0
-0.701,2.291,1
9.558,-9.792,0
-1.768,2.154,1
5.874,4.697,0
-8.304,5.375,1
1.109,-8.82,0
6.041,-3.927,0
8.494,-1.575,0
6.452,-6.405,0
-9.261,-1.585,1
-2.546,-8.577,0
-9.026,-7.736,0
-7.814,3.374,1
3.506,-4.749,0
4.265,4.228,0
5.474,-9.038,0
7.309,1.254,0
4.789,-2.171,0
6.017,5.939,1
-9.021,5.679,1
-5.309,-2.489,1
2.438,2.454,0
7.163,-5.449,0
-9.91,1.608,1
0.293,-8.375,0
3.546,-1.308,0
-9.408,-6.345,1
-1.973,7.668,1
7.913,-1.102,0
3.432,1.815,0
-5.247,-2.792,1
7.056,-4.225,0
-3.039,-5.942,0
7.067,8.237,1
-4.021,5.989,1
1.806,-7.335,0
-2.061,4.934,1
-4.503,-1.629,1
7.731,-9.692,0
-6.248,0.567,1
-8.304,-7.399,0
-3.161,-5.801,0
4.353,3.921,0
6.149,-4.857,0
9.975,7.838,0
-4.073,3.143,1
-1.841,6.646,1
-7.264,2.304,1
1.497,7.377,1
9.952,-2.766,0
4.018,0.983,0
1.904,0.318,0
-2.153,8.076,1
8.306,-6.702,0
-0.062,1.561,1
-7.313,5.089,1
-2.692,-2.599,0
-8.657,7.352,1
-5.96,-2.54,1
-9.647,-6.534,1
-0.934,1.681,1
2.691,-1.589,0
-3.134,-9.696,0
-1.592,-8.603,0
9.184,-6.094,0
5.039,5.387,1
0.817,7.841,1
-4.309,0.913,1
7.94,-7.889,0
-5.298,0.688,1
-3.493,7.112,1
8.181,4.99,0
0.591,-4.178,0
4.846,-7.522,0
1.815,8.014,1
3.069,7.082,1
-4.012,-8.926,0
-5.173,6.473,1
-3.55,-8.056,0
-6.891,-8.734,0
7.486,5.172,0
-4.335,0.726,1
1.23,-1.709,0
5.839,8.077,1
5.676,6.786,1
-1.232,-8.848,0
-0.475,2.322,1
9.894,5.445,0
3.492,1.01,0
6.293,9.66,1
8.051,3.721,0
5.752,-7.917,0
-6.296,-6.034,0
1.243,6.525,1
-7.962,9.935,1
3.058,-8.033,0
9.107,-7.993,0
0.255,5.268,1
-1.341,-8.713,0
-9.283,-8.629,0
9.195,7.776,0
-7.94,6.009,1
-9.178,7.631,1
-5.079,3.01,1
-8.689,-3.549,1
-0.898,8.126,1
0.322,-4.026,0
-3.749,-4.49,0
-8.981,7.728,1
-7.768,3.616,1
-2.31,7.913,1
-8.789,-6.882,0
3.964,9.046,1
-5.86,2.255,1
-3.959,3.361,1
-2.117,8.281,1
-1.668,-2.385,0
-9.967,4.391,1
-7.759,2.807,1
7.255,5.755,0
-9.975,7.939,1
0.163,3.601,1
-0.21,-8.647,0
-3.338,-6.337,0
-1.373,9.08,1
5.612,9.373,1
6.824,9.348,1
-4.793,-9.264,0
-3.55,-2.351,0
-5.15,5.193,1
-0.403,5.058,1
3.665,-8.282,0
-5.435,2.19,1
-3.385,-7.143,0
8.608,-0.136,0
-9.029,-5.206,1
-0.785,-8.937,0
4.231,-8.4,0
-6.991,8.218,1
-9.053,4.893,1
-7.236,8.636,1
8.376,-0.6,0
-9.815,-1.734,1
-6.234,-2.832,1
-9.374,2.326,1
-7.787,-2.969,1
2.403,4.925,1
-5.167,6.026,1
1.384,7.517,1
1.804,-5.144,0
6.989,0.54,0
-9.905,-5.531,1
7.067,-9.249,0
2.382,4.157,1
-6.745,0.98,1
5.459,4.479,0
7.11,-8.248,0
-4.915,9.911,1
8.376,9.887,1
-0.911,-0.7,0
2.068,7.321,1
9.693,-5.129,0
-2.769,4.751,1
6.263,7.585,1
-3.632,6.293,1
5.984,6.235,1
2.015,-0.739,0
-5.673,6.4,1
-1.719,3.814,1
-3.647,-7.351,0
-8.438,-7.716,0
-9.403,5.438,1
-3.07,2.509,1
-9.619,0.388,1
-6.69,8.145,1
4.504,3.192,0
4.162,-2.077,0
4.772,-1.721,0
-3.657,2.105,1
7.8,5.206,0
1.877,1.287,0
-7.479,0.175,1
-7.126,4.538,1
3.862,4.105,1
-6.541,6.607,1
0.146,-8.749,0
9.835,5.099,0
-9.92,0.275,1
-9.668,-8.506,0
9.862,3.58,0
1.693,4.331,1
-7.462,0.473,1
7.946,5.876,0
7.608,-3.995,0
0.724,-5.962,0
2.436,-2.985,0
-4.536,-1.799,1
-8.99,3.919,1
1.891,6.91,1
-4.105,4.418,1
3.272,-6.52,0
6.725,-2.676,0
-9.637,-6.832,0
1.914,3.734,1
-5.374,-5.037,0
7.478,0.508,0
-4.927,5.837,1
2.215,3.419,1
1.071,-4.033,0
-2.077,-3.343,0
3.552,3.067,0
4.515,0.989,0
1.339,-8.072,0
5.168,7.48,1
9.668,0.252,0
-1.615,-0.533,0
0.292,-6.031,0
-9.751,-2.46,1
5.921,-3.344,0
0.405,-4.585,0
-1.841,1.348,1
-8.119,-0.754,1
7.793,7.784,1
-2.1,8.827,1
3.652,-5.611,0
-7.013,-7.998,0
9.231,5.707,0
-6.431,9.897,1
-6.009,7.272,1
7.18,-9.526,0
8.252,-4.975,0
-5.757,-9.133,0
-0.604,6.416,1
4.67,1.628,0
7.567,0.274,0
-2.419,1.089,1
0.34,-4.951,0
4.834,2.033,0
4.623,-9.387,0
5.659,2.92,0
1.399,4.689,1
-7.908,3.461,1
8.079,-3.358,0
7.311,6.525,0
5.962,4.311,0
-8.003,-7.434,0
-5.912,-6.097,0
4.872,2.742,0
-9.537,-4.212,1
9.584,-7.611,0
-2.457,-6.901,0
4.386,-6.688,0
7.751,-0.444,0
-2.107,2.148,1
-3.617,-6.472,0
2.175,4.25,1
1.62,-4.38,0
-1.817,-3.769,0
2.035,-5.53,0
8.708,5.704,0
-0.647,9.196,1
-6.065,-0.15,1
-2.456,-9.159,0
-2.118,-4.789,0
-7.378,-6.839,0
-6.743,6.855,1
3.691,-8.303,0
-3.21,9.33,1
9.098,1.77,0
-5.128,0.355,1
-8.022,6.947,1
5.07,-9.449,0
7.621,5.543,0
-4.438,-7.668,0
-5.958,6.816,1
-6.285,0.584,1
0.44,-8.777,0
-0.632,6.665,1
-4.811,-9.454,0
-9.097,-7.233,0
-0.37,5.956,1
9.187,-0.703,0
3.05,7.628,1
-0.09,2.709,1
-7.786,2.471,1
-4.951,-4.155,0
-4.105,-7.326,0
5.296,9.223,1
7.534,-7.904,0
8.033,0.58,0
9.691,-4.549,0
9.647,-4.717,0
9.06,1.892,0
-8.564,5.959,1
-7.244,5.544,1
-3.911,7.376,1
1.058,-4.142,0
-8.06,-0.685,1
6.916,-9.813,0
2.335,4.937,1
0.847,-3.953,0
-6.694,1.23,1
-4.935,-6.614,0
-6.794,6.388,1
7.039,6.345,0
1.685,7.549,1
4.703,-9.081,0
-4.079,9.849,1
-2.575,-5.044,0
-1.903,-3.811,0
5.2,-5.013,0
5.447,-4.649,0
-5.864,1.053,1
8.831,-5.204,0
-7.587,-2.125,1
7.922,3.112,0
-7.992,6.721,1
-4.709,3.855,1
6.93,1.886,0
-6.41,-7.045,0
-1.729,6.322,1
-1.003,-9.255,0
-5.095,-4.716,0
4.205,-8.859,0
7.027,3.349,0
7.492,-2.633,0
-3.214,3.041,1
0.617,-3.059,0
-5.032,-0.885,1
-5.104,-0.841,1
-6.775,-9.088,0
8.8,-1.395,0
7.76,2.821,0
5.547,0.921,0
0.353,-8.494,0
-0.188,3.361,1
0.595,-3.823,0
0.731,-9.711,0
-1.309,-6.888,0
-7.365,-0.049,1
-7.487,-3.792,1
9.045,3.888,0
-0.359,-5.187,0
9.064,5.456,0
-6.728,-4.27,1
1.088,2.417,1
-5.846,5.984,1
-4.936,-2.289,1
-9.399,-9.064,0
-7.621,0.709,1
8.337,9.908,1
-3.569,9.38,1
2.163,-5.58,0
-0.7,5.114,1
-1.991,-3.101,0
0.638,-6.795,0
-6.255,3.318,1
9.772,0.017,0
6.366,0.785,0
4.832,6.548,1
-0.625,-3.269,0
-6.942,3.342,1
8.413,-2.676,0
-3.172,-9.146,0
-8.998,-2.44,1
-3.152,9.001,1
5.889,-0.335,0
2.454,-7.835,0
5.017,3.757,0
5.873,9.268,1
-5.761,8.159,1
8.476,1.439,0
-1.24,-2.474,0
2.78,1.614,0
-9.954,6.319,1
9.867,7.225,0
-4.382,6.377,1
-8.759,-0.89,1
-0.835,-7.623,0
-7.419,1.383,1
-6.953,-6.871,0
2.646,-8.781,0
-2.141,-0.027,1
8.437,3.107,0
-3.617,7.083,1
4.524,5.657,1
-0.778,7.145,1
3.199,5.201,1
1.994,4.065,1
-0.544,-9.797,0
9.001,2.522,0
-3.146,-7.59,0
-6.455,-8.827,0
3.562,-6.872,0
6.92,6.466,0
-9.195,4.877,1
-1.007,8.975,1
7.85,9.58,1
4.992,7.866,1
9.836,-7.341,0
0.628,7.568,1
3.2,6.773,1
-3.95,7.422,1
8.951,-6.966,0
-2.673,-7.664,0
4.77,8.476,1
-1.937,-6.523,0
1.236,-2.628,0
4.396,-0.88,0
0.179,-7.511,0
8.142,-9.587,0
-1.614,9.882,1
2.941,7.533,1
-3.153,8.247,1
-1.837,-4.309,0
-1.199,-5.598,0
-7.484,-1.483,1
-8.166,-0.934,1
3.35,-9.888,0
3.11,5.585,1
3.258,9.933,1
-9.605,0.574,1
-3.469,-2.235,0
-6.044,-2.145,1
5.563,-8.078,0
7.213,-4.677,0
-5.066,0.043,1
3.357,-1.363,0
-7.413,0.901,1
-4.497,6.981,1
-7.227,-5.495,0
-4.33,-9.447,0
3.495,-9.235,0
8.207,-7.317,0
-5.95,1.41,1
0.842,6.164,1
4.028,7.736,1
9.058,2.702,0
2.201,-1.937,0
-4.898,-6.91,0
2.51,-1.972,0
-3.59,-3.352,0
9.523,7.401,0
-2.006,-0.266,1
3.709,-5.476,0
-9.535,-4.224,1
-1.999,-7.271,0
7.502,8.372,1
2.205,-8.993,0
-1.121,-9.743,0
8.719,-6.34,0
7.08,6.217,0
-3.556,0.469,1
0.891,2.517,1
-0.204,-2.845,0
2.644,-8.626,0
-3.318,7.123,1
-5.116,-6.162,0
8.253,-9.339,0
8.477,1.454,0
6.866,-8.334,0
9.564,-8.085,0
4.9,6.008,1
5.293,-0.168,0
5.252,-5.17,0
-0.388,-3.027,0
-0.871,4.585,1
-5.195,-8.673,0
2.896,-7.67,0
-4.214,2.325,1
-4.844,2.139,1
1.719,9.449,1
-1.8,-2.509,0
-5.623,-8.698,0
6.321,0.751,0
7.211,2.767,0
-6.646,-7.208,0
-9.85,1.057,1
-3.277,-6.045,0
5.95,6.895,1
6.783,6.703,1
-7.233,-1.407,1
5.487,9.335,1
-7.686,9.595,1
-2.199,-7.415,0
9.972,-2.646,0
-6.148,2.006,1
-6.921,-8.303,0
-1.544,-2.347,0
2.393,-4.777,0
8.658,9.041,1
9.616,-1.768,0
-8.607,5.253,1
-7.24,-2.266,1
5.815,-7.364,0
-4.587,7.263,1
7.697,-9.992,0
3.269,-8.881,0
-7.763,-2.712,1
6.651,3.738,0
-6.473,-3.166,1
-1.53,-8.674,0
1.044,-3.643,0
0.015,-5.1,0
3.723,-9.892,0
3.054,0.696,0
9.841,-7.667,0
9.988,-4.25,0
0.329,2.824,1
-8.096,4.502,1
4.557,-4.731,0
9.533,-3.416,0
-3.633,-5.062,0
-0.776,9.138,1
-1.504,-6.19,0
-8.972,-6.336,0
3.445,-1.099,0
-2.933,-6.214,0
5.749,-6.866,0
6.642,-8.082,0
6.425,2.803,0
-1.667,2.242,1
-3.569,3.003,1
4.976,5.466,1
6.028,-3.473,0
-0.175,8.368,1
7.861,4.664,0
-7.122,6.094,1
7.581,4.419,0
-8.078,-2.831,1
-6.929,-4.339,1
0.677,-1.55,0
-8.65,-8.059,0
-8.944,-0.974,1
-9.99,-9.137,0
-1.274,-9.921,0
5.492,8.63,1
-9.303,3.787,1
3.045,1.237,0
6.463,-3.178,0
-6.64,1.411,1
-7.063,7.832,1
7.216,3.048,0
6.462,2.05,0
0.779,-0.796,0
6.384,-3.086,0
-8.145,3.971,1
-2.11,9.62,1
4.756,-1.505,0
-4.851,-2.156,1
5.047,-1.438,0
0.084,-1.489,0
5.005,9.812,1
-0.706,4.136,1
-2.642,-2.816,0
-5.616,-2.57,1
-5.832,-1.384,1
5.03,-9.266,0
-7.622,0.556,1
-8.28,6.228,1
-6.474,3.211,1
-6.493,-6.032,0
6.462,4.561,0
-2.03,4.389,1
9.808,-4.749,0
-7.256,2.457,1
3.071,2.219,0
-1.025,6.796,1
-2.142,-7.279,0
7.502,-6.103,0
9.512,-0.281,0
7.457,-9.117,0
-6.154,-1.688,1
-5.584,5.764,1
3.121,-7.026,0
-4.218,-0.801,1
4.695,9.795,1
1.328,0.118,0
1.018,-0.034,0
6.571,1.176,0
4.211,-6.28,0
-9.468,-7.057,0
-9.011,3.547,1
2.031,-2.085,0
-0.276,-4.202,0
-4.796,-9.372,0
-1.627,6.921,1
5.158,-9.353,0
6.532,5.0,0
1.224,-2.36,0
-2.293,1.974,1
-4.586,-5.046,0
0.438,-6.892,0
-3.705,0.668,1
1.282,3.912,1
3.533,-6.09,0
-8.678,-1.273,1
-9.979,-1.107,1
-5.754,-5.68,0
7.89,1.301,0
2.926,-7.081,0
-6.561,0.195,1
7.805,-7.731,0
-0.601,-0.289,0
-0.478,-3.768,0
8.711,-0.955,0
-8.81,-1.325,1
-5.696,8.159,1
1.715,-0.201,0
-6.09,6.37,1
3.591,-5.487,0
-5.718,-2.958,1
-8.017,-8.498,0
-5.86,-1.585,1
-1.545,3.374,1
-6.477,6.763,1
-7.306,1.318,1
7.206,2.801,0
-3.592,-6.455,0
-2.785,-9.256,0
-8.895,5.834,1
-2.853,-6.659,0
-4.704,-8.177,0
2.21,8.751,1
-5.892,9.27,1
7.767,2.325,0
8.593,-2.427,0
-8.003,6.665,1
-7.852,-5.906,0
-7.693,-1.412,1
2.391,-2.86,0
-7.561,8.254,1
7.048,8.396,1
5.085,3.018,0
6.396,-7.785,0
0.521,-0.356,0
9.934,-5.093,0
-9.116,7.698,1
-1.975,-7.232,0
-3.521,-8.914,0
8.973,4.089,0
1.537,-0.934,0
6.124,6.767,1
-6.593,-8.507,0
9.573,6.022,0
